id,name,team,role,base_price,nationality_type
1,Ruturaj Gaikwad,CSK,Batsman,2cr,Indian
2,MS Dhoni,CSK,Wicketkeeper,2cr,Indian
3,Dewald Brevis,CSK,Batsman,1cr,Overseas
4,Ayush Mhatre,CSK,Batsman,50L,Indian
5,Urvil Patel,CSK,Wicketkeeper,50L,Indian
6,Anshul Kamboj,CSK,All-Rounder,50L,Indian
7,Jamie Overton,CSK,Bowler,1.5cr,Overseas
8,Ramakrishna Ghosh,CSK,All-Rounder,30L,Indian
9,Shivam Dube,CSK,All-Rounder,2cr,Indian
10,Khaleel Ahmed,CSK,Bowler,2cr,Indian
11,Noor Ahmad,CSK,Bowler,1cr,Overseas
12,Mukesh Choudhary,CSK,Bowler,1cr,Indian
13,Nathan Ellis,CSK,Bowler,1cr,Overseas
14,Shreyas Gopal,CSK,Bowler,1cr,Indian
15,Gurjapneet Singh,CSK,Bowler,30L,Indian
16,Sanju Samson,CSK,Wicketkeeper,2cr,Indian
17,Akeal Hosein,CSK,Bowler,1cr,Overseas
18,Prashant Veer,CSK,All-Rounder,30L,Indian
19,Kartik Sharma,CSK,Wicketkeeper,30L,Indian
20,Matthew Short,CSK,All-Rounder,1.5cr,Overseas
21,Aman Khan,CSK,All-Rounder,30L,Indian
22,Sarfaraz Khan,CSK,Batsman,50L,Indian
23,Rahul Chahar,CSK,Bowler,1cr,Indian
24,Matt Henry,CSK,Bowler,1.5cr,Overseas
25,Zak Foulkes,CSK,All-Rounder,50L,Overseas
26,KL Rahul,DC,Wicketkeeper,2cr,Indian
27,Karun Nair,DC,Batsman,1cr,Indian
28,Abhishek Porel,DC,Wicketkeeper,1cr,Indian
29,Tristan Stubbs,DC,Batsman,1cr,Overseas
30,Axar Patel,DC,All-Rounder,2cr,Indian
31,Sameer Rizvi,DC,Batsman,1cr,Indian
32,Ashutosh Sharma,DC,Batsman,1cr,Indian
33,Vipraj Nigam,DC,All-Rounder,1cr,Indian
34,Ajay Mandal,DC,All-Rounder,1cr,Indian
35,Tripurana Vijay,DC,All-Rounder,1cr,Indian
36,Madhav Tiwari,DC,All-Rounder,1cr,Indian
37,Mitchell Starc,DC,Bowler,2cr,Overseas
38,T. Natarajan,DC,Bowler,1cr,Indian
39,Mukesh Kumar,DC,Bowler,1cr,Indian
40,Dushmantha Chameera,DC,Bowler,1cr,Overseas
41,Kuldeep Yadav,DC,Bowler,2cr,Indian
42,Nitish Rana,DC,Batsman,1cr,Indian
43,Auqib Dar,DC,All-Rounder,1.5cr,Indian
44,Ben Duckett,DC,Wicketkeeper,1cr,Overseas
45,David Miller,DC,Batsman,2cr,Overseas
46,Pathum Nissanka,DC,Batsman,50L,Overseas
47,Lungi Ngidi,DC,Bowler,1cr,Overseas
48,Sahil Parakh,DC,Batsman,30L,Indian
49,Prithvi Shaw,DC,Batsman,50L,Indian
50,Kyle Jamieson,DC,Bowler,1cr,Overseas
51,Shubman Gill,GT,Batsman,2cr,Indian
52,Sai Sudharsan,GT,Batsman,1cr,Indian
53,Kumar Kushagra,GT,Wicketkeeper,1cr,Indian
54,Anuj Rawat,GT,Wicketkeeper,1cr,Indian
55,Jos Buttler,GT,Wicketkeeper,1.5cr,Overseas
56,Nishant Sindhu,GT,All-Rounder,1cr,Indian
57,Glenn Phillips,GT,All-Rounder,1cr,Overseas
58,Washington Sundar,GT,All-Rounder,1cr,Indian
59,Arshad Khan,GT,Bowler,1cr,Indian
60,Shahrukh Khan,GT,Batsman,1cr,Indian
61,Rahul Tewatia,GT,All-Rounder,1cr,Indian
62,Kagiso Rabada,GT,Bowler,1cr,Overseas
63,Mohammed Siraj,GT,Bowler,1.5cr,Indian
64,Prasidh Krishna,GT,Bowler,1cr,Indian
65,Ishant Sharma,GT,Bowler,1cr,Indian
66,Gurnoor Singh Brar,GT,Bowler,1cr,Indian
67,Rashid Khan,GT,Bowler,2cr,Overseas
68,Manav Suthar,GT,Bowler,1cr,Indian
69,Sai Kishore,GT,Bowler,1cr,Indian
70,Jayant Yadav,GT,Bowler,1cr,Indian
71,Ashok Sharma,GT,Bowler,50L,Indian
72,Jason Holder,GT,All-Rounder,2cr,Overseas
73,Tom Banton,GT,Batsman,1cr,Overseas
74,Luke Wood,GT,Bowler,50L,Overseas
75,Prithviraj Yarra,GT,Bowler,30L,Indian
76,Ajinkya Rahane,KKR,Batsman,1cr,Indian
77,Rinku Singh,KKR,Batsman,1cr,Indian
78,Angkrish Raghuvanshi,KKR,Batsman,30L,Indian
79,Manish Pandey,KKR,Batsman,1cr,Indian
80,Rovman Powell,KKR,All-Rounder,1cr,Overseas
81,Anukul Roy,KKR,All-Rounder,1cr,Indian
82,Ramandeep Singh,KKR,Batsman,1cr,Indian
83,Vaibhav Arora,KKR,Bowler,1cr,Indian
84,Sunil Narine,KKR,All-Rounder,2cr,Overseas
85,Varun Chakravarthy,KKR,Bowler,1cr,Indian
86,Harshit Rana,KKR,Bowler,1cr,Indian
87,Umran Malik,KKR,Bowler,1cr,Indian
88,Cameron Green,KKR,All-Rounder,2cr,Overseas
89,Matheesha Pathirana,KKR,Bowler,2cr,Overseas
90,Finn Allen,KKR,Wicketkeeper,2cr,Overseas
91,Tejasvi Singh,KKR,Wicketkeeper,30L,Indian
92,Prashant Solanki,KKR,Bowler,30L,Indian
93,Kartik Tyagi,KKR,Bowler,30L,Indian
94,Rahul Tripathi,KKR,Batsman,50L,Indian
95,Tim Seifert,KKR,Wicketkeeper,1.5cr,Overseas
96,Sarthak Ranjan,KKR,All-Rounder,30L,Indian
97,Daksh Kamra,KKR,All-Rounder,30L,Indian
98,Akash Deep,KKR,Bowler,1cr,Indian
99,Rachin Ravindra,KKR,All-Rounder,1cr,Overseas
100,Blessing Muzarabani,KKR,Bowler,1cr,Overseas
101,Rishabh Pant,LSG,Wicketkeeper,2cr,Indian
102,Ayush Badoni,LSG,All-Rounder,30L,Indian
103,Abdul Samad,LSG,Batsman,1cr,Indian
104,Aiden Markram,LSG,Batsman,1cr,Overseas
105,Himmat Singh,LSG,Batsman,1cr,Indian
106,Matthew Breetzke,LSG,Batsman,1cr,Overseas
107,Nicholas Pooran,LSG,Wicketkeeper,2cr,Overseas
108,Mitchell Marsh,LSG,Batsman,1cr,Overseas
109,Shahbaz Ahmed,LSG,All-Rounder,1cr,Indian
110,Arshin Kulkarni,LSG,All-Rounder,1cr,Indian
111,Mayank Yadav,LSG,Bowler,1cr,Indian
112,Avesh Khan,LSG,Bowler,1cr,Indian
113,Mohsin Khan,LSG,Bowler,1cr,Indian
